0,Apopt1
1,1700112E06Rik
2,Gm34086
3,Atad2b
4,Klrb1f
5,Fam78a
6,Plxnb2
7,Tbc1d31
8,Gm26759
9,Gm10517
10,Nvl
11,Steap3
12,Hpx
13,Fam217a
14,Psma8
15,Tbc1d7
16,H2-K2
17,Gm14964
18,Rdh14
19,Megf10
20,Fubp3
21,Gm9962
22,Antxr1
23,Hapln2
24,Sfxn4
25,Dgat1
26,Psen1
27,Prss38
28,Sertad4
29,Gm5514
30,Tpm3
31,Imp4
32,Hsd17b12
33,Arl4d
34,Bcat1
35,Fgf20
36,Otud4
37,Gm16138
38,Dph3
39,Foxk2
40,Gm10177
41,Hectd2
42,Cops5
43,Gdpgp1
44,Nf1
45,Acads
46,6430531B16Rik
47,4930483J18Rik
48,Gm28928
49,Lsm14b
50,Ttc38
51,Timm44
52,Enox2
53,Gm26711
54,Kcnk4
55,Mettl9
56,Hist1h4c
57,Cers2
58,Plekha1
59,Atf2
60,Gm15886
61,Ptprt
62,Rnf5
63,Dab2
64,Gpc6
65,Mettl17
66,4930426I24Rik
67,Zfp493
68,Gm15481
69,Gm10369
70,Gm22215
71,Samd11
72,Apoo
73,Sh3bgrl
74,Gm28782
75,Bop1
76,Kiss1r
77,Mab21l3
78,Sdr39u1
79,Fam181a
80,Vwa8
81,Jpx
82,Sord
83,Gnptab
84,Wash1
85,Tmod2
86,Tnfsf10
87,Fubp1
88,Mob3a
89,Cenpu
90,Csnk1g1
91,Clcn1
92,1700109K24Rik
93,Mir344f
94,Erlin1
95,Prrc2b
96,Rasl12
97,Depdc1a
98,Rtbdn
99,Rps6kc1
100,Adprm
101,Mcfd2
102,Kdm1b
103,Lrrc73
104,Nedd4l
105,Ldlr
106,Zfp879
107,Gm28730
108,Ltc4s
109,Gpr139
110,Hid1
111,Xkr5
112,Zdhhc7
113,Calhm2
114,Ccdc50-ps
115,5031434O11Rik
116,Gbp8
117,March3
118,Ndrg2
119,Gm29456
120,Gm17690
121,Ccnl1
122,Mt3
123,D330041H03Rik
124,Vmn2r54
125,Cby3
126,1600012H06Rik
127,Gm28503
128,Zfp354b
129,Gm20528
130,Ier5
131,Gm21814
132,Prkag2os1
133,Sparc
134,Cul5
135,Gm4750
136,Smc5
137,Ywhag
138,Akap12
139,Pak6
140,Tg
141,B230317F23Rik
142,Adcy3
143,Fzr1
144,Kctd21
145,Scml2
146,Gramd2
147,Fbxo21
148,Rae1
149,Polr3h
150,Adh6a
151,Ppp1r3e
152,Lysmd3
153,Prr5l
154,Impa1
155,Fam83d
156,Hmg20b
157,Hs1bp3
158,Hist1h2bc
159,Usb1
160,Gm12501
161,Gm8739
162,Tert
163,Slc22a17
164,Gm28054
165,Sh2b2
166,Gm28209
167,Cdc14a
168,Hmgcs1
169,Acss2os
170,Nop16
171,Rpl12-ps1
172,Apc2
173,Myh3
174,Foxg1
175,Prps1
176,Gm26753
177,Scoc
178,Abhd1
179,Stradb
180,Gm24819
181,Zfp60
182,Mei4
183,Map4k4
184,Ccdc120
185,Fcgr3
186,Psma5
187,Fam227b
188,Gm10604
189,Gm42730
190,Bad
191,Psap
192,Ptpru
193,Dmwd
194,Tulp4
195,Fam150b
196,Wdtc1
197,Gm17826
198,Gm6123
199,Gm12020
200,Tfap4
201,Cd81
202,Usp28
203,Gm24340
204,Gm12184
205,Mcee
206,Gm5127
207,Prr7
208,1700007K13Rik
209,Lrfn2
210,Sema4g
211,Gm2383
212,Hspe1-ps3
213,Slc25a33
214,9530026F06Rik
215,AU020206
216,Litaf
217,Epm2a
218,Gm15262
219,Cthrc1
220,Pgap3
221,Vipas39
222,Gm6433
223,Usp36
224,Prkrip1
225,Stk19
226,Angpt1
227,Pds5b
228,1700039M10Rik
229,Mrps10
230,Ces1d
231,Supt7l
232,Ephb2
233,Gm23404
234,Gm26764
235,Adam5
236,Slc35b4
237,Lrrc29
238,Isoc1
239,Pard3bos1
240,1700023H06Rik
241,Fscn2
242,Zfand2b
243,Rab9
244,Dhrs13
245,Rnf112
246,Wnt9a
247,Htr4
248,Lsm4
249,Syt17
250,Bcl7b
251,Gm5544
252,Olfr277-ps1
253,Gm16161
254,Gm26675
255,Usp37
256,2310040G07Rik
257,Nr1d2
258,Plat
259,Spa17
260,Polr3gl
261,Rpl27
262,Tcf24
263,Ndufa11
264,Smpd1
265,D630003M21Rik
266,Gm26804
267,Vps37b
268,Gm16029
269,Aldh1l2
270,Eif1a
271,Mthfsd
272,Lama5
273,Tbk1
274,Ednra
275,Thbs1
276,Dynlt1a
277,Arhgef33
278,Cd83
279,Gm29397
280,Nsmaf
281,Zfp335
282,Zfp142
283,Rbms2
284,Sdc2
285,Agbl5
286,Gm26724
287,Cyp4a12b
288,Ppfia1
289,Ppil2
290,Sf1
291,Cd164
292,Lig1
293,Gm26954
294,Dcakd
295,Plac1
296,Atxn2
297,Mast4
298,Gm26664
299,Pigs
300,St3gal4
301,Vcam1
302,Nfatc1
303,Rpf1
304,Dctn5
305,Gm2058
306,Ntng1
307,Plce1
308,Herc3
309,Ly75
310,9330136K24Rik
311,C230037L18Rik
312,Mnt
313,Luc7l2
314,Gm26797
315,Skap1
316,Atp8b3
317,Ptar1
318,Znrf1
319,4930513N10Rik
320,4930412B13Rik
321,Morf4l2
322,Usf2
323,Gm26911
324,Cdh26
325,Vax2
326,Smim1
327,Proca1
328,Ext1
329,Sfmbt2
330,Kbtbd7
331,Frzb
332,Oraov1
333,Prorsd1
334,Dcp1b
335,A930012O16Rik
336,Retsat
337,Ak1
338,Bicc1
339,Stard9
340,Esyt2
341,Xrra1
342,Gm12511
343,Gm7102
344,Idh3g
345,Lnx2
346,Gm13306
347,Ythdf3
348,Mrps21
349,Twistnb
350,Exoc8
351,Il12b
352,Nprl3
353,AW209491
